dateissue,Value
14020806,1951216.6
14020807,1961310.8
14020808,1981414.2
14020809,1981204.7
14020810,1970519.8
14020813,1999209.4
14020814,2016734.8
14020815,2030871.7
14020816,2052696
14020817,2055944.8
14020820,2054482.9
14020821,2053632.8
14020822,2055960.3
14020823,2046067
14020824,2038883.4
14020827,2028579.8
14020828,2026241.6
14020829,2018008
14020830,2020153.9
14020901,2022332.4
14020904,2019988.2
14020905,2024447.9
14020906,2026074.8
14020907,2031879.6
14020908,2060345.3
14020911,2087696
14020912,2121199.2
14020913,2165228.3
14020914,2176503.7
14020915,2171023.4
14020918,2160965
14020919,2161074
14020920,2162560.4
14020921,2161266.6
14020922,2158088.5
14020925,2171823.2
14020927,2207653.1
14020928,2211856.3
14020929,2210217.4
14021002,2208343.2
14021003,2200109.7
14021004,2194499.8
14021005,2178752.2
14021006,2177410.5
14021009,2182717.8
14021010,2176102.5
14021011,2168309
14021012,2158766.5
14021013,2155234.9
14021016,2153710.6
14021017,2154775.7
14021018,2153955.8
14021019,2156372.4
14021020,2170964.1
14021023,2180534.1
14021024,2197290.1
14021025,2194999.4
14021026,2186970.3
14021027,2185977.4
14021030,2166927.9
14021101,2153211.8
14021102,2146563.3
14021103,2120048.7
14021104,2123491.4
14021107,2126829.7
14021108,2128027.7
14021109,2120268
14021110,2110339.4
14021111,2107272.6
14021114,2111083.4
14021115,2100173.8
14021116,2098472
14021117,2097247.4
14021118,2098026.3
14021121,2100104.3
14021123,2091898.2
14021124,2090317.9
14021125,2078540.1
14021128,2060020
14021129,2064525.6
14021130,2070775.3
14021201,2071417.9
14021202,2070816.2
14021205,2066137.7
14021207,2049784.5
14021208,2046016.9
14021209,2054827.2
14021212,2086541.6
14021213,2147088.7
14021214,2140164.7
14021215,2172228
14021216,2165752.7
14021219,2163750.3
14021220,2160224.7
14021221,2161563.7
14021222,2163501
14021223,2150035.3
14021226,2148494
14021227,2160406.5
14021228,2195092.3
14030105,2236349.3
14030106,2253602.2
14030107,2249426.6
14030108,2261386.2
14030111,2261172.4
14030114,2245265.3
14030115,2250907.5
14030118,2231022.8
14030119,2234925.7
14030120,2254853
14030121,2261899.2
14030125,2207970.2
14030126,2196767.8
14030127,2206907.8
14030128,2201982
14030129,2208214.7
14030201,2285843.6
14030202,2312818.2
14030203,2316803.1
14030204,2303378.2
14030205,2304325.9
14030208,2304978.6
14030209,2284833.7
14030210,2281071.8
14030211,2268826.4
14030212,2264917.3
14030216,2259745.2
14030217,2239098.5
14030218,2231424
14030219,2219092.6
14030222,2208284.9
14030223,2193171.8
14030224,2161422.6
14030225,2165573.5
14030226,2164692.3
14030229,2168676.3
14030230,2112560.3
14030231,2112560.3
14030301,2114144.1
14030305,2098482.7
14030306,2079063.3
14030307,2058131.9
14030308,2069875.5
14030309,2086080.2
14030312,2094080.3
14030313,2087686.4
14030316,2082119
14030319,2064389.5
14030320,2061897.1
14030321,2078090.7
14030322,2081296.9
14030323,2075720.5
14030326,2061671.6
14030327,2045317.9
14030329,2036364.6
14030330,2043980.4
14030402,2047651.8
14030403,2051147.6
14030404,2065166.1
14030406,2085131.4
14030409,2096024.5
14030410,2072938.2
14030411,2075095.4
14030412,2090301.4
14030413,2100670.5
14030416,2188812.7
14030417,2226443.1
14030418,2221299.3
14030419,2217016.9
14030420,2209340.5
14030423,2200257
14030424,2201134.1
14030427,2202679.2
14030430,2192414
14030431,2172192.1
14030501,2169010.6
14030502,2177962.2
14030503,2175315.4
14030506,2160964
14030508,2131749.3
14030509,2120430.4
14030510,2068372.4
14030513,2006693.6
14030514,2005608.4
14030515,2004512.3
14030516,2002614
14030517,2002614
14030520,2003843.7
14030521,2003375.9
14030522,1998653.1
14030523,1991084.6
14030524,1998118.5
14030527,2012357.5
14030528,2030558.4
14030529,2038043.1
14030530,2032554.1
14030531,2037208.9
14030603,2052290.7
14030605,2063272
14030606,2068025.5
14030607,2076253.1
14030610,2098637
14030611,2110504.8
14030613,2109294
14030617,2101652.1
14030618,2088087.6
14030619,2096049.7
14030620,2088352.5
14030621,2084593.4
14030624,2075472.8
14030625,2065548.8
14030626,2067566
14030627,2084152
14030628,2097004.5
14030701,2098921.7
14030702,2116537.7
14030703,2152668.3
14030704,2155023.4
14030707,2146848.3
14030708,2137981.5
14030709,2131706.3
14030710,2123595.8
14030711,2114920
14030714,2106812.3
14030715,2101758.2
14030716,2093950.4
14030717,2097383
14030718,2099699.3
14030721,2113868.4
14030722,2114707.7
14030723,2090793.2
14030724,2069261.9
